,Year,Month,Day,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation_m,Type,Eruption,VEI,Agent,Deaths,DeathDescription,Missing,MissingDescription,Injuries,InjuriesDescription,DamageMil,DamageDescription,HousesDestroyed,HousesDestroyedDescription,TotalDeaths,TotalDeathDescription,TotalMissing,TotalMissingDescription,TotalInjuries,TotalInjuriesDescription,TotalDamageMil,TotalDamageDescription,TotalHousesDestroyed,TotalHousesDestroyedDescription,in_ring_of_fire
780,2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,true,1,T,1,1,,,11,1,,1,,,1,1,,,11,1,,1,,,true
785,2018,6,3,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,true,2,P,201,3,229,3,27,1,120.0,4,186,3,201,3,229,3,27,1,120.0,4,186,3,true
792,2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,true,4,T,,,,,,,,2,,,,,,,,,,2,,,true
798,2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,true,4,T,39,1,,,,,67.0,4,4573,4,39,1,,,,,67.0,4,4573,4,true
800,2021,3,5,,,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,true,2,T,,,,,,,,2,,,,,,,,,,2,,,true
801,2021,3,,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,"Complex volcano",true,1,"L,T",,,,,,,,1,,,,,,,,,,1,,,true
808,2022,6,22,,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,true,2,P,1,1,,,,,,,,,1,1,,,,,,,,,true
814,2023,10,8,5891,10709,Sofugan,"Izu Is-Japan",Japan,29.794,140.342,99,"Submarine volcano",true,,"S,W",,,,,,,,,,,,,,,,,,,,,true
815,2023,12,3,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,"Complex volcano",true,,"P,T",23,1,0,,12,1,,,,,23,1,0,,12,1,,,,,true
817,2024,4,16,,,Ruang,"Sangihe Is-Indonesia",Indonesia,2.3,125.37,725,Stratovolcano,true,,,,,,,,,15.5,3,3200,4,,,,,,,15.5,3,3200,4,true
818,2024,5,11,,,Marapi,Sumatra,Indonesia,-0.38,100.474,2885,"Complex volcano",true,2,M,67,2,20,1,33,1,,3,521,3,67,2,20,1,33,1,,3,521,3,true
819,2024,6,3,,,Kanlaon,Philippines-C,Philippines,10.41,123.13,2422,Stratovolcano,true,3,"M,G,T",,,,,,,2.5,2,2680,4,,,,,,,2.5,2,2680,4,true
823,2024,12,9,,,Kanlaon,Philippines-C,Philippines,10.41,123.13,2422,Stratovolcano,true,2,"T,P",,0,,,,,2.2,2,1,1,,0,,,,,2.2,2,1,1,true
